Time,TZ,BL1.5LBA50CF1oo2_2JT01TValue,BL1.5LBA50CF1oo2_1JT01TValue,BL1.5LBA50CF1oo2_1oo2_JT01TValue,BL1.5LBA60CF1oo2_1oo2_JT01TValue,BL1.5LBA60CF1oo2_2JT01TValue,BL1.5LBA60CF1oo2_1JT01TValue,BL1.4LBB10FP905_ZE02U,BL1.4LBB10FP905_ZE01U,BL1.4LBB10FT905_ZE01U,BL1.BOP_5MAC10CP001_AI_JT01TValue,BL1.BOP_5MAC10CT001_AI_JT01TValue,BL1.BOP_5MAC20CP001_AI_JT01TValue,BL1.BOP_5MAC20CT001_AI_JT01TValue,BL1.BOP_5MAC30CP001_AI_JT01TValue,BL1.BOP_5MAC30CT001_AI_JT01TValue,BL1.BOP_5MAC40CP001_AI_JT01TValue,BL1.BOP_5MAC40CT001_AI_JT01TValue,BL1.4MAC10FT950_ZE01U,BL1.4MAM10CP010_XE01U,BL1.5LCA10FP920_ZE02U
#!Units,,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,barg,Bar,deg C,bar,deg C,bar,deg C,bar,deg C,bar,deg C,deg C,barg,bara
#!Description,Time Zone Information,FLOW AT SUPERHEATER 1 OUTPUT,FLOW AT SUPERHEATER 1 OUTPUT,FLOW AT SUPERHEATER 1 OUTPUT,FLOW AT SUPERHEATER 2 OUTPUT,FLOW AT SUPERHEATER 2 OUTPUT,FLOW AT SUPERHEATER 2 OUTPUT,LPT Pressure Inlet Steam,LPT Pressure LP Inlet Steam,LPT Inlet Steam Temperature ,PRESSURE FROM EXHAUST LP TURBINE TO DEAERATOR,TEMPERATURE FROM EXHAUST LP TURBINE TO DEAERATOR,PRESSURE FROM EXHAUST LP TURBINE TO LP3 PREHEATERS,TEMPERATURE FROM EXHAUST LP TURBINE TO LP3 PREHEATERS,LP ST EXTRACTION TO LP PREHEATER 2 PRESSURE,LP ST EXTRACTION TO LP PREHEATER 2 TEMPERATURE,LP ST EXTRACTION TO LP PREHEATER 1 PRESSURE,LP ST EXTRACTION TO LP PREHEATER 1 TEMPERATURE,LPT Exhaust Temperature,Pressure Leak Off Steam,Condenser Pressure
52:00.0,+02:00,30.0232,30.2467,30.135,29.3108,29.2768,29.3802,17.0369,17.0406,383.0951,10.0116,288.6556,3.6438,242.6273,0.6874,115.953,-0.1891,75.2148,36.3271,-0.0427,0.0611
53:00.0,+02:00,30.0815,30.2569,30.1692,29.3083,29.2453,29.3572,17.0026,17.0044,383.0137,9.9394,288.6068,3.6225,242.5579,0.6818,115.9393,-0.1903,75.1758,36.3271,-0.0424,0.061
54:00.0,+02:00,30.0911,30.2651,30.1781,29.3131,29.2234,29.3735,17.0125,17.017,383.0137,9.9976,289.4206,3.6365,242.5116,0.6851,115.8775,-0.1898,75.1432,36.3814,-0.0426,0.0613
55:00.0,+02:00,30.0724,30.2478,30.1601,29.2848,29.2136,29.3495,16.9845,16.9872,382.8997,9.9419,289.8438,3.6215,242.4769,0.6812,115.8294,-0.1906,75.1367,36.3814,-0.0426,0.0612
56:00.0,+02:00,30.0705,30.3109,30.1907,29.2835,29.1643,29.3682,16.9583,16.961,383.2253,9.9514,293.4896,3.6215,242.3843,0.6813,115.7744,-0.1907,75.0781,36.2837,-0.0426,0.0611
57:00.0,+02:00,30.0143,30.3424,30.1784,29.3238,29.2489,29.3976,16.9899,16.9953,382.8347,9.9805,293.5384,3.646,242.4884,0.6889,115.8019,-0.1879,75.2409,36.3922,-0.0425,0.0614
58:00.0,+02:00,30.0535,30.2784,30.166,29.2901,29.2051,29.3269,16.9646,16.9682,382.9811,9.9698,292.0898,3.646,242.6042,0.6892,115.9118,-0.1875,75.2995,36.3271,-0.0425,0.0614
59:00.0,+02:00,30.0842,30.2242,30.1542,29.3124,29.2501,29.3662,16.9764,16.9791,382.9974,9.9755,290.7064,3.6524,242.7083,0.6915,116.0424,-0.1868,75.3255,36.3271,-0.0424,0.0614
00:00.0,+02:00,30.0496,30.249,30.1493,29.2871,29.2179,29.3751,16.9628,16.9646,382.8997,9.9691,289.4694,3.6524,242.7894,0.6918,116.1455,-0.1863,75.3776,36.4356,-0.0422,0.0615
01:00.0,+02:00,30.0733,30.2514,30.1624,29.3267,29.2576,29.3553,16.9447,16.9474,382.7044,9.9571,288.2487,3.6394,242.8357,0.6874,116.1936,-0.188,75.3125,36.4356,-0.0421,0.0615
02:00.0,+02:00,30.0399,30.2576,30.1487,29.2957,29.2655,29.342,16.9311,16.933,382.8672,9.9451,287.1419,3.6241,242.7315,0.6826,116.2073,-0.1899,75.2148,36.3922,-0.0421,0.0613
03:00.0,+02:00,30.0517,30.2666,30.1591,29.2646,29.2162,29.3125,16.9248,16.9275,383.2253,9.9407,286.084,3.6168,242.5926,0.6801,116.0768,-0.1909,75.1107,36.3271,-0.0424,0.0612
04:00.0,+02:00,30.0878,30.3098,30.1988,29.2746,29.2397,29.3204,16.9022,16.904,383.1113,9.8824,286.556,3.5977,242.5,0.6745,115.9393,-0.1925,75.013,36.2729,-0.0424,0.0609
05:00.0,+02:00,30.0305,30.2482,30.1394,29.3387,29.2495,29.4392,16.9275,16.932,382.9811,9.9426,287.4349,3.6177,242.4537,0.6801,115.8362,-0.191,75.0521,36.2729,-0.0428,0.0609
06:00.0,+02:00,29.9993,30.2326,30.1159,29.2793,29.2247,29.3436,16.9248,16.9266,382.9974,9.8976,286.3932,3.6142,242.5,0.6798,115.8775,-0.1905,75.1367,36.338,-0.0427,0.0611
07:00.0,+02:00,30.0484,30.2632,30.1558,29.274,29.2211,29.3032,16.9275,16.9311,382.8672,9.9445,288.0208,3.6279,242.4421,0.6835,115.8981,-0.1899,75.1042,36.2837,-0.0427,0.061
